Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
Chevron,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries.",107567,-18,-497,260078,-110.8,55200,Petroleum Refining,31,45,John S. Watson,Energy,Petroleum Refining,"San Ramon, CA",http://www.chevron.com,23,145556,145556,-0.2,-0.3
Brookfield Asset Management,"Brookfield Asset Management Inc. is an alternative asset management company. It has around $330 billion of assets under management, focusing on real estate, renewable power, infrastructure and private equity.",24411,22.6,1651,159826,-29.5,55700,Diversified Financials,0,441,J. Bruce Flatt,Financial Sector,Diversified Financials,"Toronto, Ontario, Canada",http://www.brookfield.com,1,26453,26453,1,6.2
Mercantil Servicios Financieros,Mercantil Servicios Financieros is a Venezuelan holding company of financial services present in 9 countries in America and Europe.,24403,50.3,2004.2,148659,-10.5,8370,Banks: Commercial and Savings,0,442,Gustavo J. Vollmer A.,Financial Sector,Banks: Commercial and Savings,"Caracas, Venezuela",http://www.msf.com,1,7550,7550,1.3,26.5
SAP,"SAP SE is a German-based European multinational software corporation that makes enterprise software to manage business operations and customer relations. SAP is headquartered in Walldorf, Baden-Wurttemberg, Germany with regional offices in 180 countries.",24397,5.8,4031.9,46696,18.6,84183,Computer Software,462,443,William R. McDermott,Technology,Computer Software,"Walldorf, Germany",http://www.sap.com,2,27817,27817,8.6,14.5
ConocoPhillips,"Yangquan Coal Industry (Group) Co., Ltd. engages in the coal and coal chemical, electricity, aluminum, construction, real estate, equipment manufacturing, and trade logistics business in China and internationally. It offers coal products, including powders, end coal products, wash blocks, wash small pieces, and commodity coal products; and chemical products, such as fertilizers.",24360,-21.3,-3615,89772,,13300,"Mining, Crude-Oil Production",339,444,Ryan M. Lance,Energy,"Mining, Crude-Oil Production","Houston, TX",http://www.conocophillips.com,23,34974,34974,-4,-10.3
Yangquan Coal Industry Group,"Shanxi Jincheng Anthracite Mining Group Co., Ltd. is a Chinese state-owned coal mining conglomerate based in Jincheng, Shanxi. It was owned by the State-owned Assets Supervision and Administration Commission of Shanxi Provincial People's Government.",24284,-14.2,11.1,30793,,146236,"Mining, Crude-Oil Production",374,445,Zhai Hong,Energy,"Mining, Crude-Oil Production","Yangquan, China",http://www.ymjt.com.cn%20,5,1783,1783,,0.6
Danone,"Danone S.A. is a French multinational food-products corporation based in Paris and founded in Barcelona, Spain. The company is listed on Euronext Paris where it is a component of the CAC 40 stock market index.",24267,-2.4,1902.1,46350,33.8,99187,Food Consumer Products,433,446,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,"Paris, France",http://www.danone.com,23,13825,13825,4.1,13.8
Samsung C&T,"Samsung C&amp;T Corporation, was founded in 1938 as a parent company of Samsung Group to engage in overseas sales operations. Since 1995, it has been largely focused on global engineering and construction projects, trade and investment, fashion and resorts.",24217,105.2,92.5,36816,-96.2,13898,"Engineering, Construction",0,447,Chi-Hun Choi,Engineering & Construction,"Engineering, Construction","Seoul, South Korea",http://www.samsungcnt.com,1,15155,15155,0.3,0.6
Shanxi LuAn Mining Group,"Shanxi Lu'an Mining Industry (Group) Company Ltd., through its subsidiaries, mines and produces coal in China. It offers blended, clean, injected, and washed coal; coal-based synthetic oil; nitro fertilizers and chemicals; coking coal; building materials; and peony oil and wild cherries. The company also engages in the photovoltaic, financial services, equipment manufacturing, and copper processing businesses. Shanxi Lu'an Mining Industry (Group) Company Ltd. is based in Changzhi, China.",24087,-15.9,-106.9,29026,,95666,"Mining, Crude-Oil Production",370,448,Li Jinping,Energy,"Mining, Crude-Oil Production","Changzhi, China",http://www.chinaluan.com,5,2542,2542,-0.4,-4.2
Raytheon,The Raytheon Company is a major U.S. defense contractor and industrial corporation with core manufacturing concentrations in weapons and military and commercial electronics. It was previously involved in corporate and special-mission aircraft until early 2007.,24069,3.5,2211,30052,6.6,63000,Aerospace and Defense,457,449,Thomas A. Kennedy,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",http://www.raytheon.com,22,10066,10066,7.4,22
Midea Group,"Midea Group is a Chinese electrical appliance manufacturer, headquartered in Beijiao, Shunde, Foshan, Guangdong and listed on Shenzhen Stock Exchange.",24060,8.5,2210.4,24549,9.3,126418,"Electronics, Electrical Equip.",481,450,Fang Hongbo,Technology,"Electronics, Electrical Equip.","Foshan, China",http://www.midea.com,2,8796,8796,9,25.1
Fannie Mae,"The Federal National Mortgage Association, commonly known as Fannie Mae, is a United States government-sponsored enterprise and, since 1968, a publicly traded company.",107162,-2.9,12313,3287968,12.4,7000,Diversified Financials,40,46,Timothy J. Mayopoulos,Financial Sector,Diversified Financials,"Washington, DC",http://www.fanniemae.com,20,6071,6071,0.4,202.8
Chubu Electric Power,"Chubu Electric Power Co., Inc., abbreviated as Chuden in Japanese, is a Japanese electric utilities provider for the middle Chubu region of the Honshu island of Japan. It provides electricity at 60 Hz, though an area of Nagano Prefecture uses 50 Hz.",24028,1.1,1058.2,48580,-25.2,30635,Utilities,448,451,Satoru Katsuno,Energy,Utilities,"Nagoya, Japan",http://www.chuden.co.jp,23,14695,14695,2.2,7.2
BAE Systems,"BAE Systems plc is a British multinational defence, security, and aerospace company. Its headquarters are in London in the United Kingdom with operations worldwide.",24011,-6.4,1232.3,28383,-12.1,76000,Aerospace and Defense,415,452,Charles Woodburn,Aerospace & Defense,Aerospace and Defense,"London, Britain",http://www.baesystems.com,23,4247,4247,4.3,29
Andeavor,"Andeavor was a Fortune 100 and a Fortune Global 500 company headquartered in San Antonio, Texas, with 2017 annual revenues of $35 billion, and over 14,000 employees worldwide.",24005,-14.7,734,20398,-52.3,6308,Petroleum Refining,375,453,Gregory J. Goff,Energy,Petroleum Refining,"San Antonio, TX",http://www.tsocorp.com,11,5465,5465,3.6,13.4
China Datang,"China Datang Corporation is one of the five large-scaled power generation enterprises in the People's Republic of China, established on the basis of former State Power Corporation of China in 2002. ",23871,-9.7,243.9,101631,32.9,97091,Energy,406,454,Chen Jinhang,Energy,Energy,"Beijing, China",http://www.china-cdt.com,8,7371,7371,0.2,3.3
Flex,"Flex Ltd. is an American multinational technological manufacturer. It is the third largest global electronics manufacturing services, original design manufacturer company by revenue, behind only Taiwan's Pegatron to original equipment manufacturers.",23863,-2.3,319.6,12593,-28,200000,Semiconductors and Other Electronic Components,441,455,Michael M. McNamara,Technology,Semiconductors and Other Electronic Components,Singapore,http://www.flex.com,17,2645,2645,2.5,12.1
Arrow Electronics,"Arrow Electronics is an American Fortune 500 company headquartered in Centennial, Colorado. The company specializes in distribution and value added services relating to electronic components and computer products.",23825,2.3,522.8,14206,5,18700,Wholesalers: Electronics and Office Equipment,455,456,Michael J. Long,Wholesalers & Retailers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",http://www.arrow.com,4,4413,4413,3.7,11.8
Heraeus Holding,"Heraeus is a German technology group with a focus on precious and special metals, medical technology, quartz glass, sensors and specialty light sources.",23793,65.9,,4982,,12369,Metals,0,457,Jan Rinnert,Materials,Metals,"Hanau, Germany",http://www.heraeus.com,7,3160,3160,,
Compal Electronics,"Compal Electronics is a Taiwanese original design manufacturer, handling the production of notebook computers, monitors and televisions for a variety of clients around the world, including Apple Inc., Acer, Lenovo, Dell, Toshiba, Hewlett-Packard and Fujitsu.",23773,-10.9,252.1,10769,-7.9,64728,"Computers, Office Equipment",400,458,Jui-Tsung Chen,Technology,"Computers, Office Equipment","Taipei, Taiwan",http://www.compal.com,6,3283,3283,2.3,7.7
CVS Health,"CVS Health Corporation is an American retail pharmacy and health care company headquartered in Woonsocket, Rhode Island. Consumer Value Stores began in 1963 with three partners, brothers Stanley and Sidney Goldstein and partner Ralph Hoagland, who grew the venture from a parent company, Mark Steven, Inc., that helped retailers manage their health and beauty aid product lines.",177526,15.8,5317,94462,1.5,204000,Health Care: Pharmacy and Other Services,18,14,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",http://www.cvshealth.com,22,36830,36830,5.6,14.4
Cigna,"Cigna is an American worldwide health services organization based in suburban Bloomfield, Connecticut and Philadelphia, Pennsylvania.",39668,4.7,1867,59360,-10.8,41000,Health Care: Insurance and Managed Care,264,256,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",http://www.cigna.com,22,13723,13723,3.1,13.6
Schlumberger,"Schlumberger Limited is the world's largest oilfield services company. Schlumberger employs approximately 100,000 people representing more than 140 nationalities working in more than 85 countries.",27810,-21.6,-1687,77956,-181.4,100000,Oil & Gas Equipment Services,287,388,Paal Kibsgaard,Energy,Oil & Gas Equipment Services,"Houston, TX",http://www.slb.com,17,41078,41078,-2.2,-4.1
Philip Morris International,"Philip Morris International Inc. is an American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries outside the United States. The most recognized and best selling product of the company is Marlboro.",26685,-0.4,6967,36851,1.4,79500,Tobacco,398,406,Andre Calantzopoulos,"Food, Beverages & Tobacco",Tobacco,"New York, NY",http://www.pmi.com,9,-12688,-12688,18.9,
Adecco Group,"The Adecco Group, based in Zurich, Switzerland, is the largest temp staffing firm in the world, and a Fortune Global 500 company.",25112,2.9,799.5,10651,8909.5,33000,Temporary Help,442,434,Alain Dehaze,Business Services,Temporary Help,"Glattbrugg, Switzerland",http://www.adeccogroup.com,19,3918,3918,7.5,20.4
China National Aviation Fuel Group,"China National Aviation Fuel Group Corporation is a Chinese state-owned enterprise. The company owns a 51% stake in China National Aviation Fuel Supply Co., Ltd., one of the largest jet fuel suppliers in China.",24588,11.3,320,6093,-4.3,11739,Wholesalers: Diversified,484,439,Zhou Qiang,Wholesalers & Retailers,Wholesalers: Diversified,"Beijing, China",http://www.cnaf.com,7,2263,2263,5.3,14.1
Nationwide,"Nationwide Building Society is a British mutual financial institution, the seventh largest cooperative financial institution and the largest building society in the world with over 15 million members.",40074,-0.4,334.3,197790,-42.4,34320,Insurance: Property and Casualty (Mutual),241,254,Stephen S. Rasmussen,Financial Sector,Insurance: Property and Casualty (Mutual),"Columbus, OH",http://www.nationwide.com,23,15537,15537,0.2,2.2
3M,"The 3M Company, formerly known as the Minnesota Mining and Manufacturing Company, is an American multinational conglomerate corporation operating in the fields of industry, worker safety, health care, and consumer goods.",30109,-0.5,5050,32906,4.5,91584,Miscellaneous,348,361,Inge G. Thulin,Industrial Sector,Miscellaneous,"St. Paul, MN",http://www.3m.com,23,10298,10298,15.3,49
Yango Financial Holding,"Yango Holdings. Environmental protection, educationg, real estate, finance, international, investment.",23657,11.5,159.2,24231,-59,10234,Diversified Financials,0,459,Lin Tengjiao,Financial Sector,Diversified Financials,"Fuzhou, China",http://www.yangofinance.com,1,1925,1925,0.7,8.3
Qualcomm,Qualcomm Incorporated is an American multinational semiconductor and telecommunications equipment company that designs and markets wireless telecommunications products and services. It derives most of its revenue from chipmaking and the bulk of its profit from patent licensing businesses,23554,-6.8,5705,52359,8.2,30500,Semiconductors and Other Electronic Components,422,460,Steven M. Mollenkopf,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",http://www.qualcomm.com,4,31778,31778,10.9,18
China Mobile Communications,China Mobile Communications Corporation simply China Mobile is a Chinese state-owned telecommunication corporation that provides mobile voice and multimedia services through its nationwide mobile telecommunications network across mainland China.,107117,0.3,9614.3,246446,-5.2,463712,Telecommunications,45,47,Li Yue,Telecommunications,Telecommunications,"Beijing, China",http://www.10086.cn,17,130459,130459,3.9,7.4
Alfresa Holdings,"Alfresa Holdings Corporation, through its subsidiaries, engages in the wholesale, manufacture, marketing, and import/export of pharmaceuticals, diagnostic reagents, medical devices and equipment, and other products primarily in Japan.",23551,9.7,285.1,11273,-2.1,13217,Wholesalers: Health Care,492,461,Taizo Kubo,Wholesalers & Retailers,Wholesalers: Health Care,"Tokyo, Japan",http://www.alfresa.com,8,2993,2993,2.5,9.5
Alibaba Group Holding,"Alibaba Group Holding Limited is a Chinese multinational conglomerate specializing in e-commerce, retail, Internet and technology.",23517,47.9,6489.5,73538,-42.2,50097,Internet Services and Retailing,0,462,Daniel Zhang,Technology,Internet Services and Retailing,"Hangzhou, China",http://www.alibabagroup.com,1,40454,40454,8.8,16
Koc Holding,"Koc Holding is the largest industrial conglomerate in Turkey, and only company in the country's to enter the Fortune Global 500 list.",23456,-8.1,1144.2,25047,-12.7,95456,Energy,419,463,Levent Cakiroglu,Energy,Energy,"Istanbul, Turkey",http://www.koc.com.tr,16,7345,7345,4.6,15.6
Progressive,"The Progressive Corporation is an American insurance company. It is one of the largest providers of car insurance in America. The company insures motorcycles, boats, RVs and commercial vehicles, and provides home insurance through select companies.",23441,12.4,1031,33428,-18.7,31721,Insurance: Property and Casualty (Stock),0,464,Susan Patricia Griffith,Financial Sector,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",http://www.progressive.com,4,7957,7957,3.1,13
Duke Energy,"Duke Energy Corporation headquartered in Charlotte, North Carolina, is an electric power holding company in the United States, with assets also in Canada and Latin America.",23369,-1,2152,132761,-23.6,28798,Utilities,446,465,Lynn J. Good,Energy,Utilities,"Charlotte, NC",http://www.duke-energy.com,14,41033,41033,1.6,5.2
Michelin,Michelin is a French tyre manufacturer based in Clermont-Ferrand in the Auvergne region of France. It is the second largest tyre manufacturer in the world after Bridgestone and larger than both Goodyear and Continental.,23120,-1.7,1853.4,26705,43,105654,Motor Vehicles and Parts,451,466,Jean-Dominique Senard,Transportation,Motor Vehicles and Parts,"Clermont-Ferrand, France",http://www.michelin.com,23,11178,11178,6.9,16.6
Country Garden Holdings,"Country Garden is a property development company based in Guangdong Province, China, owned by Yang Guoqiang's family.",23044,27.9,1733.6,85124,17.4,94450,Real estate,0,467,Mo Bin,Financial Sector,Real estate,"Foshan, China",http://www.countrygarden.com.cn,1,10091,10091,2,17.2
Heineken Holding,"Heineken N.V. is a Dutch brewing company, founded in 1864 by Gerard Adriaan Heineken in Amsterdam. As of 2017, Heineken owns over 165 breweries in more than 70 countries.",23044,-0.7,861.5,41469,-18.9,73525,Beverages,459,468,Jean-Francois van Boxmeer,"Food, Beverages & Tobacco",Beverages,"Amsterdam, Netherlands",http://www.theheinekencompany.com,11,6958,6958,2.1,12.4
Enterprise Products Partners,"Enterprise Products Partners L.P. is an American midstream natural gas and crude oil pipeline company with headquarters in Houston, Texas.",23022,-14.8,2513.1,52194,-0.3,6800,Pipelines,392,469,A. James Teague,Energy,Pipelines,"Houston, TX",http://www.enterpriseproducts.com,7,22047,22047,4.8,11.4
AstraZeneca,AstraZeneca plc is a British-Swedish multinational pharmaceutical and biopharmaceutical company.,23002,-6.9,3499,62526,23.9,59700,Pharmaceuticals,435,470,Pascal Soriot,Health Care,Pharmaceuticals,"Cambridge, Britain",http://www.astrazeneca.com,19,14854,14854,5.6,23.6
J.P. Morgan Chase,J.P. Morgan Chase & Co. is an American multinational investment bank and financial services company headquartered in New York City.,105486,4.4,24733,2490972,1.2,243355,Banks: Commercial and Savings,55,48,James Dimon,Financial Sector,Banks: Commercial and Savings,"New York, NY",http://www.jpmorganchase.com,23,254190,254190,1,9.7
Amgen,"Amgen Inc. is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California.",22991,6.1,7722,77626,11.3,19200,Pharmaceuticals,487,471,Robert A. Bradway,Health Care,Pharmaceuticals,"Thousand Oaks, CA",http://www.amgen.com,2,29875,29875,9.9,25.8
Rabobank Group,"Rabobank is a Dutch multinational banking and financial services company headquartered in Utrecht, Netherlands.",22956,-4.4,828.3,698790,-15.1,40029,Banks: Commercial and Savings,445,472,Wiebe Draijer,Financial Sector,Banks: Commercial and Savings,"Utrecht, Netherlands",http://www.rabobank.com,23,27232,27232,0.1,3
Altice,"Altice Europe is a Netherlands-based multinational telecoms company, founded and headed by the French-Israeli billionaire Patrick Drahi, and the second largest telecoms company in France, behind Orange.",22953,42.2,-1722.5,84805,,49732,Telecommunications,0,473,Michel Combes,Telecommunications,Telecommunications,"Amsterdam, Netherlands",http://www.altice.net,1,-2668,-2668,-2,
Onex,Onex Corporation is a private equity and credit investor and manager founded in 1984.,22943,3.8,-130,42913,,161000,Semiconductors and Other Electronic Components,483,474,Gerald W. Schwartz,Technology,Semiconductors and Other Electronic Components,"Toronto, Ontario, Canada",http://www.onex.com,18,-490,-490,-0.3,
US Foods Holding,"US Foods is one of America's leading food distributors servicing restaurants, the healthcare industry, and more.",22919,-0.9,209.8,8945,25.2,25000,Wholesalers: Food and Grocery,461,475,Pietro Satriano,Wholesalers & Retailers,Wholesalers: Food and Grocery,"Rosemont, IL",http://www.usfoods.com,2,2538,2538,2.3,8.3
Shanxi Jincheng Anthracite Coal Mining Group,"Shanxi Jincheng Anthracite Mining Group Co., Ltd. is a Chinese state-owned coal mining conglomerate based in Jincheng, Shanxi.",22875,-17,3,32954,,135691,"Mining, Crude-Oil Production",384,476,He Tiancai,Energy,"Mining, Crude-Oil Production","Jincheng, China",http://www.jamg.cn,5,2988,2988,,0.1
Randstad Holding,"Randstad NV, commonly known as Randstad and stylized as randstad, is a Dutch multinational human resource consulting firm headquartered in Diemen, Netherlands.",22873,7.3,650.2,9624,13,32280,Temporary Help,494,477,Jacques van den Broek,Business Services,Temporary Help,"Diemen, Netherlands",http://www.randstad.com,5,4366,4366,6.8,14.9
Tencent Holdings,"Tencent Holdings Limited is a Chinese multinational investment holding conglomerate founded in 1998, whose subsidiaries specialise in various Internet-related services and products, entertainment, artificial intelligence and technology both in China and globally.",22871,39.7,6185.9,56968,35,38775,Internet Services and Retailing,0,478,Pony Ma,Technology,Internet Services and Retailing,"Shenzhen, China",http://www.tencent.com,1,25128,25128,10.9,24.6
LG Display,"LG Display is the world's largest LCD panel maker. LG Display is one of the world's largest manufacturer and supplier of thin-film transistor liquid crystal display panels, OLEDs and flexible displays",22840,-9,781.4,20606,-8.6,49094,"Electronics, Electrical Equip.",429,479,Sang-Beom Han,Technology,"Electronics, Electrical Equip.","Seoul, South Korea",http://www.lgdisplay.com,6,10729,10729,3.8,7.3
Emirates Group,"The Emirates Group is a Dubai-based international aviation holding company headquartered in Garhoud, Dubai, United Arab Emirates, near Dubai International Airport.",22799,0.3,340.3,33096,-82.5,64768,Airlines,472,480,Sheikh Ahmed bin Saeed Al Maktoum,Transportation,Airlines,"Dubai, U.A.E",http://www.theemiratesgroup.com,2,9395,9395,1,3.6
Legal & General Group,"Legal & General Group plc, commonly known as Legal & General, is a British multinational financial services company headquartered in London, United Kingdom.",105235,442.3,1697.9,577954,3.4,8939,"Insurance: Life, Health (stock)",0,49,Nigel Wilson,Financial Sector,"Insurance: Life, Health (stock)","London, Britain",http://www.legalandgeneralgroup.com,17,8579,8579,0.3,19.8
U.S. Bancorp,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware.",22744,5.8,5888,445964,0.2,71191,Banks: Commercial and Savings,490,481,Andrew J. Cecere,Financial Sector,Banks: Commercial and Savings,"Minneapolis, MN",http://www.usbank.com,12,47298,47298,1.3,12.4
H & M Hennes & Mauritz,"Hennes & Mauritz AB is a Swedish multinational clothing-retail company known for its fast-fashion clothing for men, women, teenagers and children.",22618,4.6,2192.3,10681,-12.3,114586,Specialty Retailers,488,482,Karl-Johan Persson,Wholesalers & Retailers,Specialty Retailers,"Stockholm, Sweden",http://www.hm.com,2,6635,6635,20.5,33
Aflac,Aflac Inc. is an American insurance company and is the largest provider of supplemental insurance in the United States,22559,8.1,2659,129819,5,10212,"Insurance: Life, Health (stock)",0,483,Daniel P. Amos,Financial Sector,"Insurance: Life, Health (stock)","Columbus, GA",http://www.aflac.com,10,20482,20482,2,13
Sodexo,Sodexo is a French food services and facilities management company headquartered in the Paris suburb of Issy-les-Moulineaux.,22477,-2,707.2,15766,-12.7,425594,Food Services,466,484,Michel Landel,"Hotels, Restaurants & Leisure",Food Services,"Issy-les-Moulineaux, France",http://www.sodexo.com,18,4085,4085,4.5,17.3
Suning Commerce Group,"Suning.com Co., Ltd. formerly Suning Commerce Group Co., Ltd. is one of the largest non-government retailers in China, headquartered in Nanjing, Jiangsu Province.",22366,3.7,106,19738,-23.6,60354,Specialty Retailers,0,485,Ren Jun,Wholesalers & Retailers,Specialty Retailers,"Nanjing, China",http://www.suning.com,1,9455,9455,0.5,1.1
GS Caltex,"GS Caltex is a South Korean oil refiner. The company changed its name from LG-Caltex Oil Corporation to GS Caltex Corporation on January 27, 2006.",22207,-11.4,1221.1,15969,42.1,2949,Petroleum Refining,431,486,Jin-Soo Huh,Energy,Petroleum Refining,"Seoul, South Korea",http://www.gscaltex.com,6,8150,8150,7.6,15
Ultrapar Holdings,"Ultra is a Brazilian company operating in the sectors of fuel distribution, through Ipiranga and Ultragaz",22167,-2.3,447.5,7426,-0.8,15173,Energy,474,487,Thilo Mannhardt,Energy,Energy,"Sao Paulo, Brazil",http://www.ultra.com.br,8,2621,2621,6,17.1
Xiamen C&D,"Xiamen C&D Inc. engages in the supply chain, real estate development, and industrial investment businesses in China.",22145,6.6,280.2,21729,15.6,18381,Trading,0,488,Huang Wenzhou,Wholesalers & Retailers,Trading,"Xiamen, China",http://www.chinacdc.com,1,3985,3985,1.3,7
Sears Holdings,"Sears Holdings Corporation is an American holding company headquartered in Hoffman Estates, Illinois. It was the parent company of the chain stores Kmart and Sears and was founded after Kmart purchased Sears in 2005.",22138,-12,-2221,9362,,140000,General Merchandisers,425,489,Edward S. Lampert,Wholesalers & Retailers,General Merchandisers,"Hoffman Estates, IL",http://www.searsholdings.com,23,-3824,-3824,-23.7,
China General Technology,"China General Technology Group is a Chinese state-owned conglomerate spanning the areas of machinery manufacturing, pharmaceuticals, engineering contracting, construction and real estate, and technical consulting.",22113,-20.1,413.6,20860,-20.8,38589,"Engineering, Construction",383,490,Xu Xianping,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.genertec.com.cn,4,5114,5114,2,8.1
Nippon Telegraph & Telephone,"The Nippon Telegraph and Telephone Corporation, commonly known as NTT, is a Japanese telecommunications company headquartered in Tokyo, Japan.",105128,9.4,7384.4,190740,20.2,274844,Telecommunications,60,50,Hiroo Unoura,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.ntt.co.jp,23,81254,81254,3.9,9.1
National Grid,"National Grid plc is a British multinational electricity and gas utility company headquartered in Warwick, United Kingdom.",22036,-3.2,10150.6,82310,160.2,22132,Utilities,471,491,John Pettigrew,Energy,Utilities,"London, Britain",http://www.nationalgrid.com,12,25463,25463,12.3,39.9
Dollar General,"Dollar General Corporation is an American chain of variety stores headquartered in Goodlettsville, Tennessee.",21987,7.9,1251.1,11672,7.4,121000,Specialty Retailers,0,492,Todd J. Vasos,Wholesalers & Retailers,Specialty Retailers,"Goodlettsville, TN",http://www.dollargeneral.com,1,5406,5406,10.7,23.1
Telecom Italia,"Telecom Italia, is an Italian telecommunications company headquartered in Rome and Milan, which provides telephony services, mobile services, and DSL data services.",21941,-17.4,1999.4,74295,,61227,Telecommunications,404,493,Flavio Cattaneo,Telecommunications,Telecommunications,"Milan, Italy",http://www.telecomitalia.com,18,22366,22366,2.7,8.9
Xiamen ITG Holding Group,"Xiamen ITG Holding Co., Ltd., through its subsidiaries, engages in the provision of integrated circulation services, real estate development and property services, optoelectronic information, international economic cooperation, culture and tourism, and financial investment activities in China and internationally.",21930,34.3,35.6,12161,-25.1,18454,Trading,0,494,Xu Xiaoxi,Wholesalers & Retailers,Trading,"Xiamen, China",http://www.itgholding.com.cn,1,1066,1066,0.3,3.3
Xinjiang Guanghui Industry Investment,"Xinjiang Guanghui Industry Investment (Group) Co., Ltd. engages in energy development, real estate development, and automobile service business.",21919,31.1,251.8,31957,49.9,65616,Trading,0,495,Shang Jiqiang,Wholesalers & Retailers,Trading,"Urumqi, China",http://www.guanghui.com,1,4563,4563,0.8,5.5
Teva Pharmaceutical Industries,"Teva Pharmaceutical Industries Ltd. is an Israeli multinational pharmaceutical company headquartered in Petah Tikva, Israel. It specializes primarily in generic drugs, but other business interests include active pharmaceutical ingredients and, to a lesser extent, proprietary pharmaceuticals.",21903,11.5,329,92890,-79.3,56960,Pharmaceuticals,0,496,Yitzhak Peterburg,Health Care,Pharmaceuticals,"Petach Tikva, Israel",http://www.tevapharm.com,1,33337,33337,0.4,1
New China Life Insurance,"New China Life Insurance Co., Ltd. also known as New China Insurance or Xinhua Baoxian Jituan is a Chinese life insurance company based in Beijing.",21796,-13.3,743.9,100609,-45.6,54378,"Insurance: Life, Health (stock)",427,497,Wan Feng,Financial Sector,"Insurance: Life, Health (stock)","Beijing, China",http://www.newchinalife.com,2,8507,8507,0.7,8.7
Wm. Morrison Supermarkets,"Wm Morrison Supermarkets plc, trading as Morrisons, is the fourth largest chain of supermarkets in the United Kingdom, and is headquartered in Bradford, West Yorkshire, England.",21741,-11.3,406.4,11630,20.4,77210,Food and Drug Stores,437,498,David T. Potts,Health Care,Food and Drug Stores,"Bradford, Britain",http://www.morrisons.com,13,5111,5111,3.5,8
TUI,"TUI Group is an Anglo-German travel and tourism company headquartered in Hannover, Germany. It is the largest leisure, travel and tourism company in the world, and owns travel agencies, hotels, airlines, cruise ships and retail stores.",21655,-5.5,1151.7,16247,195.5,66779,Travel Services,467,499,Friedrich Joussen,Business Services,Travel Services,"Hanover, Germany",http://www.tuigroup.com,23,3006,3006,7.1,38.3
AutoNation,"AutoNation is an American automotive retailer, which provides new and pre-owned vehicles and associated services in the United States. The company was founded by Wayne Huizenga in 1996, and has more than 360 retail outlets.",21609,3.6,430.5,10060,-2.7,26000,Specialty Retailers,0,500,Michael J. Jackson,Wholesalers & Retailers,Specialty Retailers,"Fort Lauderdale, FL",http://www.autonation.com,12,2310,2310,4.3,18.6
Volkswagen,"Volkswagen AG, known internationally as the Volkswagen Group, is a German multinational automotive manufacturing company headquartered in Wolfsburg, Lower Saxony, Germany and indirectly majority owned by the Austrian Porsche-Piech family.",240264,1.5,5937.3,432116,,626715,Motor Vehicles and Parts,7,6,Matthias Muller,Transportation,Motor Vehicles and Parts,"Wolfsburg, Germany",http://www.volkswagen.com,23,97753,97753,1.4,6.1
China Life Insurance,China Life Insurance Company Limited is a Beijing-based China-incorporated company that provides life insurance and annuity products.,104818,3.5,162.4,483026,-96.1,143676,"Insurance: Life, Health (stock)",54,51,Yang Mingsheng,Financial Sector,"Insurance: Life, Health (stock)","Beijing, China",http://www.chinalife.com.cn,15,14079,14079,,1.2
BMW Group,"BMW AG is a German multinational company which currently produces automobiles and motorcycles, and also produced aircraft engines until 1945.",104130,1.8,7589.4,198835,7.4,124729,Motor Vehicles and Parts,51,52,Harald Kruger,Transportation,Motor Vehicles and Parts,"Munich, Germany",http://www.bmwgroup.com,23,49682,49682,3.8,15.3
Express Scripts Holding,"Express Scripts Holding Company is an American Fortune 100 company. As of 2018, the company is the 25th-largest in the United States by total revenue as well as the largest pharmacy benefit management organization in the United States.",100288,-1.4,3404.4,51745,37.5,25600,Health Care: Pharmacy and Other Services,52,53,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",http://www.express-scripts.com,15,16236,16236,6.6,21
Trafigura Group,"Trafigura Group Pte. Ltd. is a multinational commodity trading company founded in 1993 that trades in base metals and energy. Headquartered in Geneva, Trafigura is legally registered in Singapore.",98098,0.9,750.8,41230,-39.3,4107,Trading,59,54,Jeremy Weir,Wholesalers & Retailers,Trading,Singapore,http://www.trafigura.com,3,5548,5548,1.8,13.5
